id	document_id	entity_id	entity_type	paragraph	word
13699	83	2093	Models::Entity	25	77
13700	83	2094	Models::Entity	30	6
13701	83	1446	Models::Entity	31	10
13702	83	2082	Models::Entity	31	21
13703	83	2095	Models::Entity	32	8
13704	83	2096	Models::Entity	32	14
13705	83	2097	Models::Entity	32	21
13706	83	2098	Models::Entity	32	32
13707	83	2081	Models::Entity	32	38
13708	83	2099	Models::Entity	33	5
13709	83	2082	Models::Entity	35	11
13710	83	2100	Models::Entity	39	4
13711	83	2099	Models::Entity	39	12
13712	83	2101	Models::Entity	39	15
13713	83	2102	Models::Entity	39	20
13714	83	2103	Models::Entity	39	54
13715	83	2101	Models::Entity	40	14
13716	83	2104	Models::Entity	40	20
13717	83	2101	Models::Entity	43	10
13718	83	2102	Models::Entity	44	30
13719	83	2099	Models::Entity	45	10
13720	83	2101	Models::Entity	45	13
13721	83	2101	Models::Entity	45	13
13722	83	2092	Models::Entity	48	3
13723	83	2105	Models::Entity	48	11
13724	83	2083	Models::Entity	48	46
13725	83	2090	Models::Entity	48	48
13726	83	2083	Models::Entity	49	7
13727	83	2090	Models::Entity	49	9
13728	83	2086	Models::Entity	49	28
13729	83	2106	Models::Entity	49	34
13730	83	2092	Models::Entity	50	11
13731	83	2107	Models::Entity	50	28
13732	83	2108	Models::Entity	51	2
13733	83	2109	Models::Entity	52	20
13734	83	2092	Models::Entity	53	3
13735	83	2099	Models::Entity	54	5
13736	83	2099	Models::Entity	54	5
13737	83	2099	Models::Entity	55	35
13738	83	2110	Models::Entity	57	3
13739	83	2111	Models::Entity	57	12
13740	83	1428	Models::Entity	57	30
13741	83	2110	Models::Entity	57	3
13742	83	2083	Models::Entity	58	36
13743	83	2084	Models::Entity	58	42
13744	83	2112	Models::Entity	58	58
13745	83	2099	Models::Entity	59	21
13746	83	1426	Models::Entity	61	21
13747	83	1450	Models::Entity	61	37
13748	83	1425	Models::Entity	61	45
13749	83	2113	Models::Entity	61	73
13750	83	1425	Models::Entity	61	45
13751	83	1433	Models::Entity	61	127
13752	83	1425	Models::Entity	61	45
13753	83	1540	Models::Entity	61	168
13754	83	2114	Models::Entity	64	25
13755	83	2096	Models::Entity	64	28
13756	83	2097	Models::Entity	64	35
13757	83	2098	Models::Entity	64	46
13758	83	2081	Models::Entity	64	52
13759	83	2114	Models::Entity	65	9
13760	83	2096	Models::Entity	65	12
13761	83	2097	Models::Entity	65	19
13762	83	2098	Models::Entity	65	30
13763	83	2081	Models::Entity	65	36
13764	83	1581	Models::Entity	68	8
13765	83	1479	Models::Entity	68	32
13766	83	1481	Models::Entity	68	38
13767	83	1482	Models::Entity	68	41
13768	83	1483	Models::Entity	68	45
13769	83	1484	Models::Entity	68	49
13770	83	1426	Models::Entity	68	75
13771	83	1430	Models::Entity	68	89
13772	83	1450	Models::Entity	68	100
13773	83	1433	Models::Entity	68	116
