, , Fc 1
fracción fracción NCFS000 1
I i NP00000 1
y y CC 0.999989
III iii NP00000 1
de de SP 0.999961
la el DA0FS0 0.98926
“ “ Fra 1
LFTAIP lftaip NP00000 1
” ” Frc 1
publicada publicar VMP00SF 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
9_de_mayo_de_2016 [??:9/5/2016:??.??:??] W 1
; ; Fx 1
el el DA0MS0 1
artículo artículo NCMS000 1
116 116 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
“ “ Fra 1
LGTAIP lgtaip NP00000 1
” ” Frc 1
, , Fc 1
publicada publicar VMP00SF 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
4_de_mayo_de_2015 [??:4/5/2015:??.??:??] W 1
; ; Fx 1
así_como así_como CC 1
el el DA0MS0 1
Lineamiento_Trigésimo_Octavo lineamiento_trigésimo_octavo NP00000 1
, , Fc 1
fracción fracción NCFS000 1
I i NP00000 1
y y CC 0.999989
II ii NP00000 1
de de SP 0.999961
los el DA0MP0 0.992728
“ “ Fra 1
LCCDIEVP lccdievp NP00000 1
” ” Frc 1
, , Fc 1
publicados publicar VMP00PM 1
en en SP 1
el el DA0MS0 1
DOF dof NP00000 1
el el DA0MS0 1
15_de_abril_de_2016 [??:15/4/2016:??.??:??] W 1
. . Fp 1
Motivación motivación NCFS000 0.668984
: : Fd 1
Contiene contener VMIP3S0 1
datos dato NCMP000 1
personales personal AQ0CP00 0.989637
concernientes concerniente AQ0CP00 1
a a SP 0.998775
una uno DI0FS0 0.951973
persona persona NCFS000 0.996683
identificada identificar VMP00SF 1
o o CC 0.999864
identificable identificable AQ0CS00 1
, , Fc 1
así_como así_como CC 1
información información NCFS000 1
presentada presentar VMP00SF 1
con con SP 1
carácter carácter NCMS000 1
Confidencial confidencial NP00000 1
por por SP 1
los el DA0MP0 0.992728
particulares particular NCCP000 0.256098
. . Fp 1
Secciones_Confidenciales secciones_confidenciales NP00000 1
: : Fd 1
Las el DA0FP0 0.988184
secciones sección NCFP000 0.998103
marcadas marcar VMP00PF 1
en en SP 1
color color NCMS000 1
azul azul AQ0CS00 0.730263
con con SP 1
la el DA0FS0 0.98926
inscripción inscripción NCFS000 1
que que PR0CN00 0.550139
dice decir VMIP3S0 1
“ “ Fra 1
CONFIDENCIAL_POR_LEY confidencial_por_ley NP00000 1
” ” Frc 1
. . Fp 1

En en SP 1
la el DA0FS0 0.98926
Ciudad_de_México ciudad_de_méxico NP00000 1
, , Fc 1
a a SP 0.998775
veintitrés_de_enero_de_dos_mil_diecisiete [??:23/1/2017:??.??:??] W 1
. . Fp 1

Visto ver VMP00SM 0.998418
por por SP 1
resolver resolver VMN0000 1
el el DA0MS0 1
Pleno pleno NP00000 1
de de SP 0.999961
este este DD0MS0 0.949201
Instituto_Federal_de_Telecomunicaciones instituto_federal_de_telecomunicaciones NP00000 1
el el DA0MS0 1
expediente expediente NCMS000 0.982759
administrativo administrativo AQ0MS00 0.661294
con con SP 1
número número NCMS000 1
E-IFT/UC/DGIPM/PMR/0008/2013 E-IFT/UC/DGIPM/PMR/0008/2013 Z 1
, , Fc 1
iniciado iniciar VMP00SM 0.992958
mediante mediante SP 0.99763
denuncia denuncia NCFS000 0.846154
presentada presentar VMP00SF 1
por por SP 1
Ultracable_de_América ultracable_de_américa NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
en_contra_de en_contra_de SP 1
Mega_Cable mega_cable NP00000 1
, , Fc 1
S.A._de_C.V. s.a._de_c.v. NP00000 1
, , Fc 1
por por SP 1
la el DA0FS0 0.98926
posible posible AQ0CS00 1
comisión comisión NCFS000 1
de de SP 0.999961
las el DA0FP0 0.988184
prácticas práctica NCFP000 0.685185
monopólicas monopólico AQ0FP00 1
relativas relativo AQ0FP00 1
previstas prever VMP00PF 1
en en SP 1
las el DA0FP0 0.988184
fracciones fracción NCFP000 0.998103
VIII viii NP00000 1
y y CC 0.999989
XI xi NP00000 1
de de SP 1
el el DA0MS0 1
artículo artículo NCMS000 1
10 10 Z 1
de de SP 0.999961
la el DA0FS0 0.98926
Ley_Federal_de_Competencia_Económica ley_federal_de_competencia_económica NP00000 1
, , Fc 1
publicada publicar VMP00SF 1
en en SP 1
el el DA0MS0 1
Diario_Oficial_de_la_Federación diario_oficial_de_la_federación NP00000 1
el el DA0MS0 1
